symbol,entry_date,exit_date,entry_price,exit_price,pct_return,p_up,auroc_at_entry,direction,hold_bars
AAPL,2022-05-26,2022-06-28,137.39,142.17,3.479,0.7107,0.6103,UP,21
AAPL,2022-06-28,2022-07-28,142.17,156.98,10.417,0.875,0.5514,UP,21
AAPL,2022-12-16,2023-01-19,136.69,134.09,-1.902,0.7608,0.5192,UP,21
AAPL,2023-01-27,2023-02-28,143.18,147.05,2.703,0.973,0.6104,UP,21
AAPL,2023-02-28,2023-03-29,147.05,159.37,8.378,0.9873,0.6036,UP,21
AAPL,2023-03-29,2023-04-28,159.37,168.48,5.716,0.9716,0.5165,UP,21
AAPL,2023-05-30,2023-06-29,176.99,189.01,6.791,0.9809,0.5154,UP,21
AAPL,2023-07-03,2023-08-02,193.71,195.04,0.687,0.6043,0.5471,UP,21
AAPL,2023-09-06,2023-10-05,188.4,173.74,-7.781,0.5237,0.5217,UP,21
MSFT,2022-06-29,2022-07-29,257.59,277.66,7.791,0.5333,0.6009,UP,21
MSFT,2022-08-22,2022-09-21,282.07,244.37,-13.365,0.6907,0.5446,UP,21
MSFT,2023-05-04,2023-06-05,306.46,335.22,9.385,0.7601,0.5303,UP,21
MSFT,2023-12-28,2024-01-30,375.32,412.26,9.842,0.9591,0.5144,UP,21
AMZN,2022-05-26,2022-06-28,108.19,113.4,4.816,0.9821,0.7509,UP,21
AMZN,2022-06-28,2022-07-28,113.4,121.57,7.205,0.7503,0.823,UP,21
AMZN,2022-07-28,2022-08-26,121.57,136.58,12.347,0.5792,0.7872,UP,21
AMZN,2022-09-21,2022-10-20,122.49,113.85,-7.054,0.7962,0.781,UP,21
AMZN,2022-10-20,2022-11-18,113.85,95.85,-15.81,0.9024,0.8094,UP,21
AMZN,2022-11-21,2022-12-21,93.97,86.17,-8.301,0.8296,0.7878,UP,21
AMZN,2022-12-27,2023-01-27,84.99,99.58,17.167,0.902,0.7071,UP,21
AMZN,2023-02-28,2023-03-29,93.2,98.68,5.88,0.9078,0.6745,UP,21
AMZN,2023-03-29,2023-04-28,98.68,107.73,9.171,0.9747,0.6289,UP,21
AMZN,2023-05-03,2023-06-02,103.73,124.92,20.428,0.6008,0.5977,UP,21
AMZN,2023-06-02,2023-07-05,124.92,130.31,4.315,0.7101,0.5823,UP,21
AMZN,2023-07-05,2023-08-03,130.31,127.55,-2.118,0.5001,0.6121,UP,21
