backtest_date,symbol,entry_date,entry_price,exit_date,exit_price,pct_gain,outcome,hold_days,score,years_window,min_score,take_profit_pct,stop_loss_pct
2026-03-03,NVDA,2023-09-21,41.5564,2023-11-13,48.3021,16.23,TP,53,3,3,3,0.1500,0.0700
2026-03-03,NVDA,2024-07-30,112.882,2024-08-06,103.824,-8.02,SL,7,3,3,3,0.1500,0.0700
2026-03-03,NVDA,2025-01-27,121.81,2025-02-21,140.04,14.97,TP,25,3,3,3,0.1500,0.0700
2026-03-03,NVDA,2025-03-10,106.99,2025-04-07,87.46,-18.25,SL,28,3,3,3,0.1500,0.0700
2026-03-03,NVDA,2025-04-07,103.805,2025-04-09,98.89,-4.73,SL,2,3,3,3,0.1500,0.0700
2026-03-03,NVDA,2026-02-05,176.69,2026-03-02,182.48,3.28,OPEN,25,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2023-08-17,214.12,2023-08-30,254.2,18.72,TP,13,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2023-10-19,217.01,2023-10-31,196.12,-9.63,SL,12,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2023-10-31,204.04,2023-11-15,239.29,17.28,TP,15,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2024-01-12,215.1,2024-01-26,185.5,-13.76,SL,14,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2024-01-26,185.63,2024-03-14,167.77,-9.62,SL,48,4,3,3,0.1500,0.0700
2026-03-03,TSLA,2024-03-14,163.16,2024-04-19,148.97,-8.7,SL,36,4,3,3,0.1500,0.0700
2026-03-03,TSLA,2024-04-19,140.56,2024-04-25,158.96,13.09,TP,6,4,3,3,0.1500,0.0700
2026-03-03,TSLA,2025-02-11,329.94,2025-02-26,303.715,-7.95,SL,15,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2025-02-26,291.16,2025-03-07,259.32,-10.94,SL,9,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2025-03-07,252.535,2025-03-11,225.305,-10.78,SL,4,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2025-03-11,247.22,2025-03-19,231.61,-6.31,SL,8,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2025-03-19,233.345,2025-03-25,283.6,21.54,TP,6,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2025-04-08,224.69,2025-04-10,260.0,15.71,TP,2,3,3,3,0.1500,0.0700
2026-03-03,TSLA,2026-02-05,400.87,2026-03-02,403.32,0.61,OPEN,25,3,3,3,0.1500,0.0700
2026-03-03,BAC,2023-08-22,28.45,2023-10-04,25.88,-9.03,SL,43,4,3,3,0.1500,0.0700
2026-03-03,BAC,2023-10-04,25.78,2023-11-20,29.98,16.29,TP,47,4,3,3,0.1500,0.0700
2026-03-03,BAC,2024-08-02,35.65,2024-10-14,41.96,17.7,TP,73,3,3,3,0.1500,0.0700
2026-03-03,BAC,2025-02-25,44.04,2025-03-11,39.675,-9.91,SL,14,3,3,3,0.1500,0.0700
2026-03-03,BAC,2025-03-11,40.2,2025-04-04,35.2,-12.44,SL,24,3,3,3,0.1500,0.0700
2026-03-03,BAC,2025-04-04,34.97,2025-05-05,40.85,16.81,TP,31,4,3,3,0.1500,0.0700
2026-03-03,BAC,2026-02-24,50.33,2026-03-02,49.81,-1.03,OPEN,6,3,3,3,0.1500,0.0700
2026-03-03,MSFT,2024-04-30,390.417,2024-06-26,447.297,14.57,TP,57,3,3,3,0.1500,0.0700
2026-03-03,MSFT,2024-07-25,416.614,2025-03-11,379.0,-9.03,SL,229,3,3,3,0.1500,0.0700
2026-03-03,MSFT,2025-03-11,382.95,2025-04-09,353.535,-7.68,SL,29,3,3,3,0.1500,0.0700
